0.84,5.00,2.68
0.85,5.00,2.73
0.86,5.00,2.79
0.87,5.00,2.84
0.89,5.00,2.88
0.90,5.00,2.94
0.91,5.00,2.99
0.92,5.00,3.05
0.93,5.00,3.10
0.94,5.00,3.16
0.95,5.00,3.21
0.96,5.00,3.26
0.97,5.00,3.32
0.98,5.00,3.37
0.99,5.00,3.43
0.65,4.00,2.25
0.64,4.00,2.19
0.63,4.00,2.14
0.62,4.00,2.08
0.61,4.00,2.03
0.60,4.00,1.98
0.58,4.00,1.92
0.57,4.00,1.87
0.56,4.00,1.81
0.55,4.00,1.76
0.54,4.00,1.70
0.53,4.00,1.65
0.52,4.00,1.59
0.51,4.00,1.54
0.50,4.00,1.48
0.48,4.00,1.43
0.47,4.00,1.37
0.46,4.00,1.32
0.45,4.00,1.26
0.44,4.00,1.21
0.43,4.00,1.15
0.42,4.00,1.10
0.41,4.00,1.04
0.40,4.00,0.99
0.38,4.00,0.94
0.37,4.00,0.88
0.36,4.00,0.83
0.35,4.00,0.77
0.34,4.00,0.71
0.33,4.00,0.66
0.32,4.00,0.60
0.31,4.00,0.55
0.30,4.00,0.49
0.28,4.00,0.44
0.27,4.00,0.38
0.26,4.00,0.33
0.25,4.00,0.27
0.24,4.00,0.21
0.23,4.00,0.16
0.22,4.00,0.10
0.21,4.00,0.05
0.66,4.00,2.31
0.67,4.00,2.36
0.68,4.00,2.41
0.70,4.00,2.47
0.71,4.00,2.52
0.72,4.00,2.58
0.73,4.00,2.63
0.74,4.00,2.69
0.75,4.00,2.74
0.76,4.00,2.79
0.77,4.00,2.85
0.79,4.00,2.90
0.80,4.00,2.95
0.81,4.00,3.01
0.82,4.00,3.06
0.83,4.00,3.12
0.84,4.00,3.17
0.85,4.00,3.23
0.86,4.00,3.28
0.87,4.00,3.34
0.89,4.00,3.39
0.90,4.00,3.44
0.91,4.00,3.50
0.92,4.00,3.56
0.93,4.00,3.61
0.94,4.00,3.67
0.95,4.00,3.72
0.96,4.00,3.77
0.97,4.00,3.83
0.99,4.00,3.88
1.00,4.00,3.94
0.57,3.00,2.34
0.56,3.00,2.28
0.55,3.00,2.23
0.54,3.00,2.17
0.52,3.00,2.12
0.51,3.00,2.06
0.50,3.00,2.01
0.49,3.00,1.95
0.48,3.00,1.90
0.47,3.00,1.85
0.46,3.00,1.79
0.45,3.00,1.74
0.44,3.00,1.68
0.42,3.00,1.63
0.41,3.00,1.57
0.40,3.00,1.52
0.39,3.00,1.46
0.38,3.00,1.41
0.37,3.00,1.35
0.36,3.00,1.30
0.35,3.00,1.24
0.34,3.00,1.19
0.32,3.00,1.13
0.31,3.00,1.08
0.30,3.00,1.02
0.29,3.00,0.97
0.28,3.00,0.92
0.27,3.00,0.86
0.26,3.00,0.80
0.25,3.00,0.75
0.24,3.00,0.70
